tube_assembly_id,quantity,component_id_1_name,quantity_1,component_id_2_name,quantity_2,component_id_3_name,quantity_3,material_id,diameter,wall,length,num_bends,bend_radius,end_a_2x,end_x_2x,end_a,end_x,year,month,day,cost,supplier
TA-00002,1,56,2,0,0,0,0,3,6.35,0.71,137.0,8,19.05,0,0,1,1,2013,7,919,21.90593302,0
TA-00002,2,56,2,0,0,0,0,3,6.35,0.71,137.0,8,19.05,0,0,1,1,2013,7,919,12.34121398,0
TA-00002,5,56,2,0,0,0,0,3,6.35,0.71,137.0,8,19.05,0,0,1,1,2013,7,919,6.601826144,0
TA-00002,10,56,2,0,0,0,0,3,6.35,0.71,137.0,8,19.05,0,0,1,1,2013,7,919,4.687769512,0
TA-00002,25,56,2,0,0,0,0,3,6.35,0.71,137.0,8,19.05,0,0,1,1,2013,7,919,3.54156118,0
TA-00002,50,56,2,0,0,0,0,3,6.35,0.71,137.0,8,19.05,0,0,1,1,2013,7,919,3.224406448,0
TA-00002,100,56,2,0,0,0,0,3,6.35,0.71,137.0,8,19.05,0,0,1,1,2013,7,919,3.082521436,0
TA-00002,250,56,2,0,0,0,0,3,6.35,0.71,137.0,8,19.05,0,0,1,1,2013,7,919,2.999059664,0
TA-00004,1,56,2,0,0,0,0,3,6.35,0.71,137.0,9,19.05,0,0,1,1,2013,7,919,21.97270244,0
TA-00004,2,56,2,0,0,0,0,3,6.35,0.71,137.0,9,19.05,0,0,1,1,2013,7,919,12.4079834,0
TA-00004,5,56,2,0,0,0,0,3,6.35,0.71,137.0,9,19.05,0,0,1,1,2013,7,919,6.668595561,0
TA-00004,10,56,2,0,0,0,0,3,6.35,0.71,137.0,9,19.05,0,0,1,1,2013,7,919,4.754538929,0
TA-00004,25,56,2,0,0,0,0,3,6.35,0.71,137.0,9,19.05,0,0,1,1,2013,7,919,3.608330598,0
TA-00004,50,56,2,0,0,0,0,3,6.35,0.71,137.0,9,19.05,0,0,1,1,2013,7,919,3.291175865,0
TA-00004,100,56,2,0,0,0,0,3,6.35,0.71,137.0,9,19.05,0,0,1,1,2013,7,919,3.149290853,0
TA-00004,250,56,2,0,0,0,0,3,6.35,0.71,137.0,9,19.05,0,0,1,1,2013,7,919,3.065829081,0
TA-00005,1,58,1,58,1,16,1,0,19.05,1.24,109.0,4,50.8,0,0,0,0,2013,9,975,28.37422033,0
TA-00005,2,58,1,58,1,16,1,0,19.05,1.24,109.0,4,50.8,0,0,0,0,2013,9,975,16.51430257,0
TA-00005,5,58,1,58,1,16,1,0,19.05,1.24,109.0,4,50.8,0,0,0,0,2013,9,975,9.397795496,0
TA-00005,10,58,1,58,1,16,1,0,19.05,1.24,109.0,4,50.8,0,0,0,0,2013,9,975,7.027481179,0
TA-00005,25,58,1,58,1,16,1,0,19.05,1.24,109.0,4,50.8,0,0,0,0,2013,9,975,5.603066942,0
TA-00005,50,58,1,58,1,16,1,0,19.05,1.24,109.0,4,50.8,0,0,0,0,2013,9,975,5.19410426,0
TA-00005,100,58,1,58,1,16,1,0,19.05,1.24,109.0,4,50.8,0,0,0,0,2013,9,975,5.007706304,0
TA-00005,250,58,1,58,1,16,1,0,19.05,1.24,109.0,4,50.8,0,0,0,0,2013,9,975,4.896423941,0
TA-00012,1,56,2,0,0,0,0,2,6.35,0.71,207.0,7,19.05,0,0,1,1,2013,8,954,22.41504983,0
TA-00012,2,56,2,0,0,0,0,2,6.35,0.71,207.0,7,19.05,0,0,1,1,2013,8,954,12.85033079,0
TA-00012,5,56,2,0,0,0,0,2,6.35,0.71,207.0,7,19.05,0,0,1,1,2013,8,954,7.11372501,0
TA-00012,10,56,2,0,0,0,0,2,6.35,0.71,207.0,7,19.05,0,0,1,1,2013,8,954,5.199668379,0
TA-00012,25,56,2,0,0,0,0,2,6.35,0.71,207.0,7,19.05,0,0,1,1,2013,8,954,4.050677988,0
TA-00012,50,56,2,0,0,0,0,2,6.35,0.71,207.0,7,19.05,0,0,1,1,2013,8,954,3.736305314,0
TA-00012,100,56,2,0,0,0,0,2,6.35,0.71,207.0,7,19.05,0,0,1,1,2013,8,954,3.594420302,0
TA-00012,250,56,2,0,0,0,0,2,6.35,0.71,207.0,7,19.05,0,0,1,1,2013,8,954,3.510958531,0
TA-00014,1,58,2,58,2,0,0,0,12.7,0.89,96.0,4,38.1,0,0,0,0,2013,3,807,21.99495891,0
TA-00014,2,58,2,58,2,0,0,0,12.7,0.89,96.0,4,38.1,0,0,0,0,2013,3,807,12.43023987,0
TA-00014,5,58,2,58,2,0,0,0,12.7,0.89,96.0,4,38.1,0,0,0,0,2013,3,807,6.690852033,0
TA-00014,10,58,2,58,2,0,0,0,12.7,0.89,96.0,4,38.1,0,0,0,0,2013,3,807,4.779577461,0
TA-00014,25,58,2,58,2,0,0,0,12.7,0.89,96.0,4,38.1,0,0,0,0,2013,3,807,3.63058707,0
TA-00014,50,58,2,58,2,0,0,0,12.7,0.89,96.0,4,38.1,0,0,0,0,2013,3,807,3.316214397,0
TA-00014,100,58,2,58,2,0,0,0,12.7,0.89,96.0,4,38.1,0,0,0,0,2013,3,807,3.174329385,0
TA-00014,250,58,2,58,2,0,0,0,12.7,0.89,96.0,4,38.1,0,0,0,0,2013,3,807,3.088085554,0
TA-00024,1,57,2,0,0,0,0,2,9.52,0.71,99.0,2,31.75,0,0,1,1,2013,8,944,20.93499441,0
TA-00024,2,57,2,0,0,0,0,2,9.52,0.71,99.0,2,31.75,0,0,1,1,2013,8,944,11.37027537,0
TA-00024,5,57,2,0,0,0,0,2,9.52,0.71,99.0,2,31.75,0,0,1,1,2013,8,944,5.633669592,0
TA-00024,10,57,2,0,0,0,0,2,9.52,0.71,99.0,2,31.75,0,0,1,1,2013,8,944,3.71961296,0
TA-00024,25,57,2,0,0,0,0,2,9.52,0.71,99.0,2,31.75,0,0,1,1,2013,8,944,2.573404628,0
TA-00024,50,57,2,0,0,0,0,2,9.52,0.71,99.0,2,31.75,0,0,1,1,2013,8,944,2.256249896,0
TA-00024,100,57,2,0,0,0,0,2,9.52,0.71,99.0,2,31.75,0,0,1,1,2013,8,944,2.114364884,0
TA-00024,250,57,2,0,0,0,0,2,9.52,0.71,99.0,2,31.75,0,0,1,1,2013,8,944,2.030903112,0
