,tube_assembly_id,supplier,bracket_pricing,quantity,cost,component_id_1,quantity_1,component_id_2,quantity_2,component_id_3,quantity_3,material_id,diameter,wall,length,num_bends,bend_radius,end_a_2x,end_x_2x,end_a,end_x,year,month,day
0,TA-00002,S-0066,Yes,1,21.9059330191,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
1,TA-00002,S-0066,Yes,2,12.3412139793,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
2,TA-00002,S-0066,Yes,5,6.60182614357,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
3,TA-00002,S-0066,Yes,10,4.68776951197,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
4,TA-00002,S-0066,Yes,25,3.54156118026,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
5,TA-00002,S-0066,Yes,50,3.2244064477,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
6,TA-00002,S-0066,Yes,100,3.08252143577,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
7,TA-00002,S-0066,Yes,250,2.99905966404,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
8,TA-00004,S-0066,Yes,1,21.9727024365,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
9,TA-00004,S-0066,Yes,2,12.4079833967,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
10,TA-00004,S-0066,Yes,5,6.66859556095,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
11,TA-00004,S-0066,Yes,10,4.75453892935,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
12,TA-00004,S-0066,Yes,25,3.60833059764,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
13,TA-00004,S-0066,Yes,50,3.29117586508,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
14,TA-00004,S-0066,Yes,100,3.14929085315,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
15,TA-00004,S-0066,Yes,250,3.06582908142,C-1312,2.0,,0.0,,0.0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
16,TA-00005,S-0066,Yes,1,28.3742203279,C-1624,1.0,C-1631,1.0,C-1641,1.0,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
17,TA-00005,S-0066,Yes,2,16.5143025656,C-1624,1.0,C-1631,1.0,C-1641,1.0,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
18,TA-00005,S-0066,Yes,5,9.3977954964,C-1624,1.0,C-1631,1.0,C-1641,1.0,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
19,TA-00005,S-0066,Yes,10,7.02748117937,C-1624,1.0,C-1631,1.0,C-1641,1.0,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
20,TA-00005,S-0066,Yes,25,5.60306694191,C-1624,1.0,C-1631,1.0,C-1641,1.0,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
21,TA-00005,S-0066,Yes,50,5.19410426045,C-1624,1.0,C-1631,1.0,C-1641,1.0,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
22,TA-00005,S-0066,Yes,100,5.00770630359,C-1624,1.0,C-1631,1.0,C-1641,1.0,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
23,TA-00005,S-0066,Yes,250,4.89642394129,C-1624,1.0,C-1631,1.0,C-1641,1.0,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
24,TA-00012,S-0066,Yes,1,22.4150498267,C-1312,2.0,,0.0,,0.0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
25,TA-00012,S-0066,Yes,2,12.8503307868,C-1312,2.0,,0.0,,0.0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
26,TA-00012,S-0066,Yes,5,7.11372501015,C-1312,2.0,,0.0,,0.0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
27,TA-00012,S-0066,Yes,10,5.19966837856,C-1312,2.0,,0.0,,0.0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
28,TA-00012,S-0066,Yes,25,4.05067798779,C-1312,2.0,,0.0,,0.0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
29,TA-00012,S-0066,Yes,50,3.73630531429,C-1312,2.0,,0.0,,0.0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
30,TA-00012,S-0066,Yes,100,3.59442030235,C-1312,2.0,,0.0,,0.0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
31,TA-00012,S-0066,Yes,250,3.51095853063,C-1312,2.0,,0.0,,0.0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
33,TA-00014,S-0066,Yes,1,21.994958909,C-1622,2.0,C-1629,2.0,,0.0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
34,TA-00014,S-0066,Yes,2,12.4302398691,C-1622,2.0,C-1629,2.0,,0.0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
35,TA-00014,S-0066,Yes,5,6.69085203341,C-1622,2.0,C-1629,2.0,,0.0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
36,TA-00014,S-0066,Yes,10,4.77957746087,C-1622,2.0,C-1629,2.0,,0.0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
37,TA-00014,S-0066,Yes,25,3.6305870701,C-1622,2.0,C-1629,2.0,,0.0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
38,TA-00014,S-0066,Yes,50,3.3162143966,C-1622,2.0,C-1629,2.0,,0.0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
39,TA-00014,S-0066,Yes,100,3.17432938466,C-1622,2.0,C-1629,2.0,,0.0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
40,TA-00014,S-0066,Yes,250,3.08808555388,C-1622,2.0,C-1629,2.0,,0.0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
43,TA-00024,S-0066,Yes,1,20.9349944081,C-0823,2.0,,0.0,,0.0,SP-0039,9.52,0.71,99.0,2,31.75,N,N,EF-008,EF-008,2013,8,944
44,TA-00024,S-0066,Yes,2,11.3702753682,C-0823,2.0,,0.0,,0.0,SP-0039,9.52,0.71,99.0,2,31.75,N,N,EF-008,EF-008,2013,8,944
