,Unnamed: 0,Unnamed: 0.1,tube_assembly_id,supplier,bracket_pricing,quantity,cost,component_id_1_name,quantity_1,component_id_2_name,quantity_2,component_id_3_name,quantity_3,material_id,diameter,wall,length,num_bends,bend_radius,end_a_2x,end_x_2x,end_a,end_x,year,month,day
0,0,0,TA-00002,S-0066,Yes,1,21.90593302,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
1,1,1,TA-00002,S-0066,Yes,2,12.34121398,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
2,2,2,TA-00002,S-0066,Yes,5,6.601826144,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
3,3,3,TA-00002,S-0066,Yes,10,4.687769512,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
4,4,4,TA-00002,S-0066,Yes,25,3.54156118,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
5,5,5,TA-00002,S-0066,Yes,50,3.224406448,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
6,6,6,TA-00002,S-0066,Yes,100,3.082521436,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
7,7,7,TA-00002,S-0066,Yes,250,2.999059664,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,8,19.05,N,N,EF-008,EF-008,2013,7,919
8,8,8,TA-00004,S-0066,Yes,1,21.97270244,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
9,9,9,TA-00004,S-0066,Yes,2,12.4079834,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
10,10,10,TA-00004,S-0066,Yes,5,6.668595561,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
11,11,11,TA-00004,S-0066,Yes,10,4.754538929,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
12,12,12,TA-00004,S-0066,Yes,25,3.608330598,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
13,13,13,TA-00004,S-0066,Yes,50,3.291175865,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
14,14,14,TA-00004,S-0066,Yes,100,3.149290853,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
15,15,15,TA-00004,S-0066,Yes,250,3.065829081,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,137.0,9,19.05,N,N,EF-008,EF-008,2013,7,919
16,16,16,TA-00005,S-0066,Yes,1,28.37422033,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
17,17,17,TA-00005,S-0066,Yes,2,16.51430257,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
18,18,18,TA-00005,S-0066,Yes,5,9.397795496,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
19,19,19,TA-00005,S-0066,Yes,10,7.027481179,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
20,20,20,TA-00005,S-0066,Yes,25,5.603066942,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
21,21,21,TA-00005,S-0066,Yes,50,5.19410426,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
22,22,22,TA-00005,S-0066,Yes,100,5.007706304,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
23,23,23,TA-00005,S-0066,Yes,250,4.896423941,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,19.05,1.24,109.0,4,50.8,N,N,EF-003,EF-003,2013,9,975
24,24,24,TA-00012,S-0066,Yes,1,22.41504983,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
25,25,25,TA-00012,S-0066,Yes,2,12.85033079,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
26,26,26,TA-00012,S-0066,Yes,5,7.11372501,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
27,27,27,TA-00012,S-0066,Yes,10,5.199668379,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
28,28,28,TA-00012,S-0066,Yes,25,4.050677988,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
29,29,29,TA-00012,S-0066,Yes,50,3.736305314,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
30,30,30,TA-00012,S-0066,Yes,100,3.594420302,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
31,31,31,TA-00012,S-0066,Yes,250,3.510958531,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,207.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
32,32,33,TA-00014,S-0066,Yes,1,21.99495891,NUT-SWIVEL,2,SLEEVE-ORFS,2,,0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
