,tube_assembly_id,supplier,bracket_pricing,quantity,cost,component_id_1_name,component_1_weight,quantity_1,component_id_2_name,component_2_weight,quantity_2,component_id_3_name,component_3_weight,quantity_3,material_id,diameter,wall,length,num_bends,bend_radius,end_a_2x,end_x_2x,end_a,end_x,year,month,day
0,TA-00002,S-0066,Yes,1,21.90593302,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,8,19.05,N,N,EF-008,EF-008,2013,7,919
1,TA-00002,S-0066,Yes,2,12.34121398,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,8,19.05,N,N,EF-008,EF-008,2013,7,919
2,TA-00002,S-0066,Yes,5,6.601826144,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,8,19.05,N,N,EF-008,EF-008,2013,7,919
3,TA-00002,S-0066,Yes,10,4.687769512,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,8,19.05,N,N,EF-008,EF-008,2013,7,919
4,TA-00002,S-0066,Yes,25,3.54156118,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,8,19.05,N,N,EF-008,EF-008,2013,7,919
5,TA-00002,S-0066,Yes,50,3.224406448,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,8,19.05,N,N,EF-008,EF-008,2013,7,919
6,TA-00002,S-0066,Yes,100,3.082521436,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,8,19.05,N,N,EF-008,EF-008,2013,7,919
7,TA-00002,S-0066,Yes,250,2.999059664,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,8,19.05,N,N,EF-008,EF-008,2013,7,919
8,TA-00004,S-0066,Yes,1,21.97270244,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,9,19.05,N,N,EF-008,EF-008,2013,7,919
9,TA-00004,S-0066,Yes,2,12.4079834,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,9,19.05,N,N,EF-008,EF-008,2013,7,919
10,TA-00004,S-0066,Yes,5,6.668595561,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,9,19.05,N,N,EF-008,EF-008,2013,7,919
11,TA-00004,S-0066,Yes,10,4.754538929,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,9,19.05,N,N,EF-008,EF-008,2013,7,919
12,TA-00004,S-0066,Yes,25,3.608330598,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,9,19.05,N,N,EF-008,EF-008,2013,7,919
13,TA-00004,S-0066,Yes,50,3.291175865,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,9,19.05,N,N,EF-008,EF-008,2013,7,919
14,TA-00004,S-0066,Yes,100,3.149290853,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,9,19.05,N,N,EF-008,EF-008,2013,7,919
15,TA-00004,S-0066,Yes,250,3.065829081,NUT-FLARED,0.009,2,,nan,0,,nan,0,SP-0019,6.35,0.71,137,9,19.05,N,N,EF-008,EF-008,2013,7,919
16,TA-00005,S-0066,Yes,1,28.37422033,NUT-SWIVEL,0.035,1,SLEEVE-ORFS,0.012,1,CONNECTOR-SEAL,0.032,1,SP-0029,19.05,1.24,109,4,50.8,N,N,EF-003,EF-003,2013,9,975
17,TA-00005,S-0066,Yes,2,16.51430257,NUT-SWIVEL,0.035,1,SLEEVE-ORFS,0.012,1,CONNECTOR-SEAL,0.032,1,SP-0029,19.05,1.24,109,4,50.8,N,N,EF-003,EF-003,2013,9,975
18,TA-00005,S-0066,Yes,5,9.397795496,NUT-SWIVEL,0.035,1,SLEEVE-ORFS,0.012,1,CONNECTOR-SEAL,0.032,1,SP-0029,19.05,1.24,109,4,50.8,N,N,EF-003,EF-003,2013,9,975
19,TA-00005,S-0066,Yes,10,7.027481179,NUT-SWIVEL,0.035,1,SLEEVE-ORFS,0.012,1,CONNECTOR-SEAL,0.032,1,SP-0029,19.05,1.24,109,4,50.8,N,N,EF-003,EF-003,2013,9,975
